;Numéro;Bureau;Canton;Circo;Scrutin;Inscrits;Votants;Blancs;Nuls;Exprimés;Participation;M. CADALEN Pierre-Yves - votes;M. CADALEN Pierre-Yves - pourcentage;M. LARSONNEUR Jean-Charles - votes;M. LARSONNEUR Jean-Charles - pourcentage;M. COATANEA Marc - votes;M. COATANEA Marc - pourcentage;M. SALAMI Réza - votes;M. SALAMI Réza - pourcentage;Mme POULLAOUEC Yvette - votes;Mme POULLAOUEC Yvette - pourcentage;Mme GELEBART Anne - votes;Mme GELEBART Anne - pourcentage;M. CABON Mikaël - votes;M. CABON Mikaël - pourcentage;Mme LOUVEL Elisabeth - votes;Mme LOUVEL Elisabeth - pourcentage;M. PELLICANO Fortuné - votes;M. PELLICANO Fortuné - pourcentage;M. LE CORRE Jean-Yves - votes;M. LE CORRE Jean-Yves - pourcentage;M. COLLARD Rémy - votes;M. COLLARD Rémy - pourcentage;M. HEBERT Gérald - votes;M. HEBERT Gérald - pourcentage;Mme MADEC Sylvia - votes;Mme MADEC Sylvia - pourcentage;Mme MIGEREL Sandrine - votes;Mme MIGEREL Sandrine - pourcentage;M. HITA Melvyn - votes;M. HITA Melvyn - pourcentage;Mme VASSEUR Alice - votes;Mme VASSEUR Alice - pourcentage
68;034;GROUPE SCOLAIRE SANQUER;2;02;Élections Législatives 1er tour;744;442;5;0;437;59,41 %;166;37,99 %;68;15,56 %;46;10,53 %;41;9,38 %;17;3,89 %;13;2,97 %;14;3,20 %;30;6,86 %;10;2,29 %;5;1,14 %;1;0,23 %;3;0,69 %;3;0,69 %;14;3,20 %;2;0,46 %;4;0,92 %
69;033;GROUPE SCOLAIRE JEAN MACE;2;02;Élections Législatives 1er tour;874;497;13;0;484;56,86 %;139;28,72 %;72;14,88 %;63;13,02 %;39;8,06 %;20;4,13 %;47;9,71 %;14;2,89 %;46;9,50 %;14;2,89 %;13;2,69 %;3;0,62 %;2;0,41 %;0;0,00 %;9;1,86 %;0;0,00 %;3;0,62 %
70;056;PATRONAGE LAIQUE du PILIER ROUGE;5;02;Élections Législatives 1er tour;703;301;7;0;294;42,82 %;108;36,73 %;29;9,86 %;34;11,56 %;45;15,31 %;32;10,88 %;9;3,06 %;6;2,04 %;7;2,38 %;2;0,68 %;4;1,36 %;3;1,02 %;4;1,36 %;2;0,68 %;3;1,02 %;0;0,00 %;6;2,04 %
71;069;GROUPE SCOLAIRE AUBRAC;1;02;Élections Législatives 1er tour;840;454;8;0;446;54,05 %;220;49,33 %;54;12,11 %;40;8,97 %;31;6,95 %;22;4,93 %;18;4,04 %;15;3,36 %;9;2,02 %;7;1,57 %;5;1,12 %;4;0,90 %;3;0,67 %;0;0,00 %;9;2,02 %;2;0,45 %;7;1,57 %
72;051;GROUPE SCOLAIRE KERISBIAN;5;02;Élections Législatives 1er tour;881;497;9;0;488;56,41 %;148;30,33 %;67;13,73 %;93;19,06 %;37;7,58 %;36;7,38 %;16;3,28 %;32;6,56 %;23;4,71 %;13;2,66 %;4;0,82 %;1;0,20 %;1;0,20 %;2;0,41 %;9;1,84 %;1;0,20 %;5;1,02 %
73;093;GROUPE SCOLAIRE QUESTEL;4;02;Élections Législatives 1er tour;1003;509;16;0;493;50,75 %;132;26,77 %;87;17,65 %;61;12,37 %;72;14,60 %;63;12,78 %;13;2,64 %;14;2,84 %;17;3,45 %;7;1,42 %;9;1,83 %;3;0,61 %;4;0,81 %;4;0,81 %;4;0,81 %;1;0,20 %;2;0,41 %
74;067;GROUPE SCOLAIRE KERICHEN;5;02;Élections Législatives 1er tour;791;372;7;0;365;47,03 %;135;36,99 %;41;11,23 %;49;13,42 %;35;9,59 %;35;9,59 %;10;2,74 %;9;2,47 %;17;4,66 %;10;2,74 %;4;1,10 %;1;0,27 %;1;0,27 %;2;0,55 %;8;2,19 %;7;1,92 %;1;0,27 %
75;058;GROUPE SCOLAIRE KERBERNARD;5;02;Élections Législatives 1er tour;822;346;13;0;333;42,09 %;91;27,33 %;41;12,31 %;47;14,11 %;37;11,11 %;54;16,22 %;8;2,40 %;11;3,30 %;8;2,40 %;6;1,80 %;9;2,70 %;3;0,90 %;3;0,90 %;3;0,90 %;9;2,70 %;2;0,60 %;1;0,30 %
76;060;CENTRE SOCIAL DE PEN AR CRÉACH;5;02;Élections Législatives 1er tour;952;451;15;0;436;47,37 %;144;33,03 %;68;15,60 %;52;11,93 %;51;11,70 %;46;10,55 %;10;2,29 %;9;2,06 %;16;3,67 %;6;1,38 %;6;1,38 %;3;0,69 %;5;1,15 %;4;0,92 %;8;1,83 %;3;0,69 %;5;1,15 %
77;094;GROUPE SCOLAIRE QUESTEL;4;02;Élections Législatives 1er tour;698;339;7;0;332;48,57 %;88;26,51 %;57;17,17 %;65;19,58 %;34;10,24 %;26;7,83 %;10;3,01 %;14;4,22 %;7;2,11 %;4;1,20 %;6;1,81 %;3;0,90 %;2;0,60 %;5;1,51 %;8;2,41 %;0;0,00 %;3;0,90 %
